ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-102714-54-312,2025-05-29,1030,1130,2024,102714,54,312,1,79,83,15.0
2024-0-115-102765-54-431,2025-05-29,1230,1330,2024,102765,54,431,1,39,39,38.0
2024-0-115-101757-56-23,2025-05-29,1900,2000,2024,101757,56,23,1,24,23,5.0
2024-0-115-104554-54-1,2025-05-29,1700,1900,2024,104554,54,1,1,23,21,12.0
2024-0-115-106930-54-612,2025-05-29,1030,1230,2024,106930,54,612,1,28,33,22.0
2024-0-115-102785-54-441,2025-05-29,1130,1230,2024,102785,54,441,1,38,38,12.0
2024-0-115-106051-1-21,2025-05-29,830,930,2024,106051,1,21,1,61,70,30.0
2024-0-115-103802-54-451,2025-05-29,1800,1900,2024,103802,54,451,1,41,50,15.0
2024-0-115-103802-54-412,2025-05-29,1030,1130,2024,103802,54,412,1,41,35,15.0
2024-0-115-102777-1-430,2025-05-29,1230,1430,2024,102777,1,430,1,33,40,26.0
2024-0-115-102784-54-441,2025-05-29,1230,1330,2024,102784,54,441,1,41,41,12.0
2024-0-115-102769-1-45,2025-05-29,1500,1700,2024,102769,1,45,1,74,66,26.0
2024-0-115-102754-54-442,2025-05-29,1230,1330,2024,102754,54,442,1,41,41,12.0
2024-0-115-101757-56-21,2025-05-29,1900,2000,2024,101757,56,21,1,25,24,5.0
2024-0-115-102743-54-432,2025-05-29,1230,1430,2024,102743,54,432,1,38,38,50.0
2024-0-115-103813-1-21,2025-05-29,1230,1430,2024,103813,1,21,1,86,93,30.0
2024-0-115-102769-1-47,2025-05-29,1500,1700,2024,102769,1,47,1,74,27,26.0
2024-0-115-101746-54-12,2025-05-29,1700,1800,2024,101746,54,12,1,30,33,15.0
2024-0-115-103795-54-311,2025-05-29,1030,1130,2024,103795,54,311,1,40,41,15.0
2024-0-115-103817-54-12,2025-05-29,1700,1800,2024,103817,54,12,1,25,22,12.0
2024-0-115-106929-54-611,2025-05-29,1030,1230,2024,106929,54,611,1,29,32,24.0
2024-0-115-102745-54-416,2025-05-29,830,930,2024,102745,54,416,1,35,23,12.0
2024-0-115-104354-1-81,2025-05-29,830,1030,2024,104354,1,81,1,64,59,26.0
2024-0-115-101764-55-31,2025-05-29,1900,2100,2024,101764,55,31,1,20,15,12.0
2024-0-115-103817-1-11,2025-05-29,1500,1600,2024,103817,1,11,1,51,45,13.0
2024-0-115-104554-1-61,2025-05-29,1500,1700,2024,104554,1,61,1,23,21,26.0
2024-0-115-101768-54-11,2025-05-29,1600,1700,2024,101768,54,11,1,26,28,12.0
2024-0-115-102707-54-351,2025-05-29,1700,1800,2024,102707,54,351,1,37,23,30.0
